u,mu,t,i,ev,obs,val_re,val_im
1.0,0.0,0.175,8,1,n̂,0.5434944045115727,0.0
1.0,0.0,0.1875,1,1,â⁺,4.001197890148881e-12,0.0
1.0,0.0,0.1875,1,1,â,4.001197890148881e-12,0.0
1.0,0.0,0.1875,1,1,n̂,0.7116639421989815,0.0
1.0,0.0,0.1875,2,1,â⁺,1.2085842980843726e-12,0.0
1.0,0.0,0.1875,2,1,â,1.2085842980843726e-12,0.0
1.0,0.0,0.1875,2,1,n̂,0.7482719703698011,0.0
1.0,0.0,0.1875,3,1,â⁺,1.6869822864150568e-12,0.0
1.0,0.0,0.1875,3,1,â,1.6869822864150568e-12,0.0
1.0,0.0,0.1875,3,1,n̂,0.7608107713587242,0.0
1.0,0.0,0.1875,4,1,â⁺,3.0988717524469593e-12,0.0
1.0,0.0,0.1875,4,1,â,3.0988717524469593e-12,0.0
1.0,0.0,0.1875,4,1,n̂,0.7792533161332234,0.0
1.0,0.0,0.1875,5,1,â⁺,9.87397704729111e-13,0.0
1.0,0.0,0.1875,5,1,â,9.87397704729111e-13,0.0
1.0,0.0,0.1875,5,1,n̂,0.7792533161330257,0.0
1.0,0.0,0.1875,6,1,â⁺,-1.4423402083326384e-12,0.0
1.0,0.0,0.1875,6,1,â,-1.4423402083326384e-12,0.0
1.0,0.0,0.1875,6,1,n̂,0.7608107713464385,0.0
1.0,0.0,0.1875,7,1,â⁺,-3.5685945746291606e-12,0.0
1.0,0.0,0.1875,7,1,â,-3.5685945746291606e-12,0.0
1.0,0.0,0.1875,7,1,n̂,0.748271970328741,0.0
1.0,0.0,0.1875,8,1,â⁺,-9.431171398865424e-12,0.0
1.0,0.0,0.1875,8,1,â,-9.431171398865424e-12,0.0
1.0,0.0,0.1875,8,1,n̂,0.7116639421310452,0.0
1.0,0.0,0.2,1,1,â⁺,-7.192873976587872e-12,0.0
1.0,0.0,0.2,1,1,â,-7.192873976587872e-12,0.0
1.0,0.0,0.2,1,1,n̂,0.6991501858145118,0.0
1.0,0.0,0.2,2,1,â⁺,-5.985231419406108e-12,0.0
1.0,0.0,0.2,2,1,â,-5.985231419406108e-12,0.0
1.0,0.0,0.2,2,1,n̂,0.7525970888243207,0.0
1.0,0.0,0.2,3,1,â⁺,-4.51634480162573e-12,0.0
1.0,0.0,0.2,3,1,â,-4.51634480162573e-12,0.0
1.0,0.0,0.2,3,1,n̂,0.7660944847181166,0.0
1.0,0.0,0.2,4,1,â⁺,-1.9119142327483297e-12,0.0
1.0,0.0,0.2,4,1,â,-1.9119142327483297e-12,0.0
1.0,0.0,0.2,4,1,n̂,0.7821582406755385,0.0
1.0,0.0,0.2,5,1,â⁺,1.7589994673822768e-12,0.0
